,index,Series,Country,Year,Value
0,SOM,Population growth (annual %),Somalia,2017,3.91978477697357
1,MYS,Population growth (annual %),Malaysia,2017,1.41536933264598
2,CHN,Population growth (annual %),China (People's Republic of),2017,0.605245013482969
3,IND,Population growth (annual %),India,2017,1.15562449067646
4,NER,Population growth (annual %),Niger,2017,3.82693398223338
5,UGA,Population growth (annual %),Uganda,2017,3.49646846553214
6,HTI,Population growth (annual %),Haiti,2017,1.38753007437198
7,DMA,Population growth (annual %),Dominica,2017,0.466977884157329
8,TZA,Population growth (annual %),Tanzania,2017,3.37115080503874
9,GUY,Population growth (annual %),Guyana,2017,0.547185665228521
10,BFA,Population growth (annual %),Burkina Faso,2017,2.86565542084027
11,ZAF,Population growth (annual %),South Africa,2017,0.387278487857363
12,DJI,Population growth (annual %),Djibouti,2017,1.64501401282776
13,SSD,Population growth (annual %),South Sudan,2017,-3.75548445756917
14,JOR,Population growth (annual %),Jordan,2017,2.48500934190509
15,DZA,Population growth (annual %),Algeria,2017,1.95700247075081
16,STP,Population growth (annual %),Sao Tome and Principe,2017,1.64978976233713
17,JAM,Population growth (annual %),Jamaica,2017,0.202492605820257
18,AFG,Population growth (annual %),Afghanistan,2017,2.86649214750073
19,MDV,Population growth (annual %),Maldives,2017,3.92628779480377
20,CUB,Population growth (annual %),Cuba,2017,-0.0494478967755684
21,VNM,Population growth (annual %),Viet Nam,2017,0.968719959338428
22,AGO,Population growth (annual %),Angola,2017,3.5509866361995
23,BGD,Population growth (annual %),Bangladesh,2017,1.24972406577957
24,TJK,Population growth (annual %),Tajikistan,2017,2.26862350493592
25,BDI,Population growth (annual %),Burundi,2017,2.28730144695888
26,MUS,Population growth (annual %),Mauritius,2017,0.0901868114668421
27,KHM,Population growth (annual %),Cambodia,2017,1.3104826630319
28,GRD,Population growth (annual %),Grenada,2017,0.792907050535382
29,ATG,Population growth (annual %),Antigua and Barbuda,2017,0.6109561448905
30,BLZ,Population growth (annual %),Belize,2017,1.9892678402512
31,MEX,Population growth (annual %),Mexico,2017,1.08042073770937
32,EGY,Population growth (annual %),Egypt,2017,1.98976849465685
33,CPV,Population growth (annual %),Cabo Verde,2017,1.16795054980192
34,MAR,Population growth (annual %),Morocco,2017,1.1916294240897
35,SLE,Population growth (annual %),Sierra Leone,2017,2.42113485779471
36,MKD,Population growth (annual %),North Macedonia,2017,0.0970341952851146
37,TGO,Population growth (annual %),Togo,2017,2.46807888446754
38,GAB,Population growth (annual %),Gabon,2017,2.55591859788162
39,GMB,Population growth (annual %),Gambia,2017,2.72348534857532
40,LAO,Population growth (annual %),Lao People's Democratic Republic,2017,1.53436449506028
41,MNG,Population growth (annual %),Mongolia,2017,2.17049015538793
42,ZMB,Population growth (annual %),Zambia,2017,3.11359549302693
43,ZWE,Population growth (annual %),Zimbabwe,2017,2.04361989880383
44,MDA,Population growth (annual %),Moldova,2017,-1.72705846625605
45,ETH,Population growth (annual %),Ethiopia,2017,2.72133142564532
46,XKX,Population growth (annual %),Kosovo,2017,0.753584842739213
47,GHA,Population growth (annual %),Ghana,2017,2.23494542871956
48,CRI,Population growth (annual %),Costa Rica,2017,0.978713315995535
49,CIV,Population growth (annual %),Côte d'Ivoire,2017,2.58625429610958
50,ARM,Population growth (annual %),Armenia,2017,-0.486625263030829
51,SDN,Population growth (annual %),Sudan,2017,3.25461617065729
52,COG,Population growth (annual %),Congo,2017,2.3910852337636
53,VCT,Population growth (annual %),Saint Vincent and the Grenadines,2017,-0.391467650725961
54,TLS,Population growth (annual %),Timor-Leste,2017,1.51336243484312
